Date,Year,Month,City,Lat,Lon,Zone,Density,Vulnerability,Temp_C,Rain_mm,Protein_Instability,Smoking_Rate,Vaccination_Rate,Pred_Cases,Hosp_Rate
2026-01-01,2026,1,Crescent City,41.75,-124.2,North Coast,2,1.3,10.6,48.1,42.45386759581886,15.1,45.4,232,4.2
2026-01-01,2026,1,Eureka,40.8,-124.16,North Coast,4,1.2,11.2,105.4,41.967630662020944,15.0,68.7,215,3.2
2026-01-01,2026,1,Arcata,40.86,-124.08,North Coast,4,0.9,11.2,37.5,41.819721254355436,15.0,68.7,159,2.4
2026-01-01,2026,1,Truckee,39.33,-120.18,Sierra Nevada,2,0.9,12.1,53.8,42.00735191637635,11.5,66.8,145,2.2
2026-01-01,2026,1,South Lake Tahoe,38.94,-119.98,Sierra Nevada,3,1.0,12.3,27.6,41.819721254355436,10.6,64.5,148,2.3
2026-01-01,2026,1,Mammoth Lakes,37.65,-118.97,Sierra Nevada,2,0.9,13.1,2.5,42.380174216027925,11.6,0.0,139,3.5
2026-01-01,2026,1,Redding,40.59,-122.39,North Valley,3,1.4,11.3,20.5,42.380174216027925,14.1,51.6,216,3.7
2026-01-01,2026,1,Chico,39.73,-121.84,North Valley,4,1.0,11.9,15.5,42.380174216027925,13.9,55.5,153,2.6
2026-01-01,2026,1,Sacramento,38.58,-121.49,Central Valley,7,1.0,12.6,128.8,41.819721254355436,11.8,70.3,205,3.0
2026-01-01,2026,1,Davis,38.54,-121.74,Central Valley,5,0.7,12.6,10.8,41.819721254355436,11.1,73.9,112,1.6
2026-01-01,2026,1,San Francisco,37.77,-122.42,Bay Area,10,0.9,13.0,8.0,41.819721254355436,8.8,88.0,167,2.0
2026-01-01,2026,1,Oakland,37.8,-122.27,Bay Area,9,1.1,13.0,57.9,42.380174216027925,9.2,86.2,222,2.7
2026-01-01,2026,1,San Jose,37.34,-121.89,Bay Area,8,0.9,13.3,180.6,42.380174216027925,8.2,90.1,175,2.0
2026-01-01,2026,1,Santa Rosa,38.44,-122.71,North Bay,5,1.1,12.6,10.3,41.967630662020944,10.8,81.3,168,2.2
2026-01-01,2026,1,Napa,38.3,-122.29,North Bay,4,1.2,12.7,75.2,41.967630662020944,10.6,81.2,205,2.6
2026-01-01,2026,1,Stockton,37.96,-121.29,Central Valley,6,1.3,12.9,102.3,43.0077003484321,12.7,58.2,267,4.3
2026-01-01,2026,1,Fresno,36.74,-119.79,Central Valley,6,1.4,13.7,93.9,42.380174216027925,13.4,63.3,289,4.5
2026-01-01,2026,1,Visalia,36.33,-119.29,Central Valley,5,1.3,13.9,139.4,41.819721254355436,14.2,56.1,263,4.4
2026-01-01,2026,1,Bakersfield,35.37,-119.02,Central Valley,6,1.4,14.5,54.5,42.380174216027925,14.7,55.7,272,4.5
2026-01-01,2026,1,Monterey,36.6,-121.89,Central Coast,5,1.1,13.7,13.5,42.45386759581886,12.1,76.3,172,2.3
2026-01-01,2026,1,San Luis Obispo,35.28,-120.66,Central Coast,4,0.9,14.5,8.0,42.15526132404185,11.3,63.0,128,2.0
2026-01-01,2026,1,Santa Barbara,34.42,-119.7,Central Coast,6,1.1,15.0,21.9,41.836271777003525,11.6,74.1,182,2.5
2026-01-01,2026,1,Santa Maria,34.95,-120.44,Central Coast,5,1.2,14.7,19.1,42.380174216027925,11.6,74.1,182,2.5
2026-01-01,2026,1,Los Angeles,34.05,-118.24,LA Basin,9,1.0,15.3,14.7,41.967630662020944,11.3,75.1,186,2.6
2026-01-01,2026,1,Long Beach,33.77,-118.19,LA Basin,9,1.0,15.4,8.2,42.380174216027925,11.3,75.1,187,2.6
2026-01-01,2026,1,Santa Monica,34.02,-118.49,LA Basin,9,0.9,15.3,63.4,41.819721254355436,11.3,75.1,191,2.6
2026-01-01,2026,1,Pasadena,34.15,-118.14,LA Basin,8,1.0,15.2,21.2,41.72529616724742,11.3,75.1,181,2.5
2026-01-01,2026,1,Lancaster,34.69,-118.15,High Desert/LA,5,1.1,8.9,2.3,41.819721254355436,11.3,75.1,238,3.3
2026-01-01,2026,1,Anaheim,33.84,-117.91,Orange County,8,1.0,15.4,117.9,42.377386759581924,9.3,74.7,210,2.9
2026-01-01,2026,1,Irvine,33.68,-117.83,Orange County,7,0.8,15.5,6.8,41.819721254355436,9.3,74.7,134,1.9
2026-01-01,2026,1,San Diego,32.72,-117.16,San Diego,8,0.9,16.1,8.7,42.15526132404185,10.1,81.0,146,1.9
2026-01-01,2026,1,Oceanside,33.2,-117.38,San Diego,6,1.1,15.8,3.3,41.967630662020944,10.1,81.0,170,2.2
2026-01-01,2026,1,Chula Vista,32.64,-117.08,San Diego,7,1.0,16.1,28.5,41.819721254355436,10.1,81.0,163,2.1
2026-01-01,2026,1,Riverside,33.98,-117.38,Inland Empire,7,1.1,15.3,5.6,41.819721254355436,11.6,61.7,194,3.1
2026-01-01,2026,1,San Bernardino,34.11,-117.29,Inland Empire,7,1.2,15.2,26.0,42.380174216027925,12.4,60.0,206,3.3
2026-01-01,2026,1,Palm Springs,33.83,-116.55,Low Desert,4,1.8,9.4,9.6,41.769547038327566,11.6,61.7,381,6.0
2026-01-01,2026,1,Indio,33.72,-116.22,Low Desert,4,1.4,9.5,1.1,42.45386759581886,11.6,61.7,288,4.5
2026-01-01,2026,1,Barstow,34.9,-117.02,High Desert,3,1.3,8.8,2.0,42.45386759581886,12.4,60.0,262,4.2
2026-01-01,2026,1,Victorville,34.54,-117.29,High Desert,5,1.2,9.0,9.9,42.380174216027925,12.4,60.0,270,4.3
2026-01-01,2026,1,El Centro,32.79,-115.56,Imperial Valley,4,1.3,16.0,10.2,42.15526132404185,13.3,95.0,172,1.9
2026-01-01,2026,1,Needles,34.85,-114.61,Mojave Desert,2,1.4,8.8,1.3,42.19202090592338,12.4,60.0,267,4.3
2026-01-01,2026,1,Big Bear Lake,34.24,-116.91,Mountain,2,0.9,15.2,1.4,41.819721254355436,12.4,60.0,121,1.9
2026-02-01,2026,2,Crescent City,41.75,-124.2,North Coast,2,1.3,11.5,33.8,42.45386759581886,15.1,45.4,179,3.3
2026-02-01,2026,2,Eureka,40.8,-124.16,North Coast,4,1.2,12.0,52.3,41.967630662020944,15.0,68.7,174,2.6
2026-02-01,2026,2,Arcata,40.86,-124.08,North Coast,4,0.9,12.0,79.2,41.819721254355436,15.0,68.7,133,2.0
2026-02-01,2026,2,Truckee,39.33,-120.18,Sierra Nevada,2,0.9,12.9,72.3,42.00735191637635,11.5,66.8,114,1.7
2026-02-01,2026,2,South Lake Tahoe,38.94,-119.98,Sierra Nevada,3,1.0,13.1,53.6,41.819721254355436,10.6,64.5,139,2.1
2026-02-01,2026,2,Mammoth Lakes,37.65,-118.97,Sierra Nevada,2,0.9,13.9,16.7,42.380174216027925,11.6,0.0,108,2.7
2026-02-01,2026,2,Redding,40.59,-122.39,North Valley,3,1.4,12.1,202.0,42.380174216027925,14.1,51.6,202,3.5
2026-02-01,2026,2,Chico,39.73,-121.84,North Valley,4,1.0,12.7,46.5,42.380174216027925,13.9,55.5,152,2.5
2026-02-01,2026,2,Sacramento,38.58,-121.49,Central Valley,7,1.0,13.4,61.4,41.819721254355436,11.8,70.3,172,2.5
2026-02-01,2026,2,Davis,38.54,-121.74,Central Valley,5,0.7,13.4,15.5,41.819721254355436,11.1,73.9,83,1.2
2026-02-01,2026,2,San Francisco,37.77,-122.42,Bay Area,10,0.9,13.8,18.8,41.819721254355436,8.8,88.0,140,1.7
2026-02-01,2026,2,Oakland,37.8,-122.27,Bay Area,9,1.1,13.8,46.4,42.380174216027925,9.2,86.2,197,2.4
2026-02-01,2026,2,San Jose,37.34,-121.89,Bay Area,8,0.9,14.1,106.5,42.380174216027925,8.2,90.1,160,1.8
2026-02-01,2026,2,Santa Rosa,38.44,-122.71,North Bay,5,1.1,13.4,79.8,41.967630662020944,10.8,81.3,162,2.1
2026-02-01,2026,2,Napa,38.3,-122.29,North Bay,4,1.2,13.5,27.7,41.967630662020944,10.6,81.2,130,1.7
2026-02-01,2026,2,Stockton,37.96,-121.29,Central Valley,6,1.3,13.7,240.7,43.0077003484321,12.7,58.2,221,3.6
2026-02-01,2026,2,Fresno,36.74,-119.79,Central Valley,6,1.4,14.5,133.3,42.380174216027925,13.4,63.3,241,3.7
2026-02-01,2026,2,Visalia,36.33,-119.29,Central Valley,5,1.3,14.7,197.2,41.819721254355436,14.2,56.1,219,3.6
2026-02-01,2026,2,Bakersfield,35.37,-119.02,Central Valley,6,1.4,15.3,13.4,42.380174216027925,14.7,55.7,195,3.3
2026-02-01,2026,2,Monterey,36.6,-121.89,Central Coast,5,1.1,14.5,10.8,42.45386759581886,12.1,76.3,131,1.8
2026-02-01,2026,2,San Luis Obispo,35.28,-120.66,Central Coast,4,0.9,15.3,80.9,42.15526132404185,11.3,63.0,132,2.1
2026-02-01,2026,2,Santa Barbara,34.42,-119.7,Central Coast,6,1.1,15.9,69.1,41.836271777003525,11.6,74.1,181,2.5
2026-02-01,2026,2,Santa Maria,34.95,-120.44,Central Coast,5,1.2,15.5,50.9,42.380174216027925,11.6,74.1,181,2.5
2026-02-01,2026,2,Los Angeles,34.05,-118.24,LA Basin,9,1.0,16.1,6.8,41.967630662020944,11.3,75.1,154,2.1
2026-02-01,2026,2,Long Beach,33.77,-118.19,LA Basin,9,1.0,16.2,10.0,42.380174216027925,11.3,75.1,155,2.1
2026-02-01,2026,2,Santa Monica,34.02,-118.49,LA Basin,9,0.9,16.1,0.7,41.819721254355436,11.3,75.1,140,1.9
2026-02-01,2026,2,Pasadena,34.15,-118.14,LA Basin,8,1.0,16.0,13.9,41.72529616724742,11.3,75.1,146,2.0
2026-02-01,2026,2,Lancaster,34.69,-118.15,High Desert/LA,5,1.1,10.5,0.7,41.819721254355436,11.3,75.1,132,1.8
2026-02-01,2026,2,Anaheim,33.84,-117.91,Orange County,8,1.0,16.2,15.1,42.377386759581924,9.3,74.7,145,2.0
2026-02-01,2026,2,Irvine,33.68,-117.83,Orange County,7,0.8,16.3,65.6,41.819721254355436,9.3,74.7,138,1.9
2026-02-01,2026,2,San Diego,32.72,-117.16,San Diego,8,0.9,16.9,28.7,42.15526132404185,10.1,81.0,134,1.7
2026-02-01,2026,2,Oceanside,33.2,-117.38,San Diego,6,1.1,16.6,16.0,41.967630662020944,10.1,81.0,137,1.8
2026-02-01,2026,2,Chula Vista,32.64,-117.08,San Diego,7,1.0,16.9,8.5,41.819721254355436,10.1,81.0,133,1.7
2026-02-01,2026,2,Riverside,33.98,-117.38,Inland Empire,7,1.1,16.1,4.1,41.819721254355436,11.6,61.7,159,2.5
2026-02-01,2026,2,San Bernardino,34.11,-117.29,Inland Empire,7,1.2,16.0,33.3,42.380174216027925,12.4,60.0,213,3.4
2026-02-01,2026,2,Palm Springs,33.83,-116.55,Low Desert,4,1.8,11.0,4.1,41.769547038327566,11.6,61.7,203,3.2
2026-02-01,2026,2,Indio,33.72,-116.22,Low Desert,4,1.4,11.1,0.7,42.45386759581886,11.6,61.7,161,2.5
2026-02-01,2026,2,Barstow,34.9,-117.02,High Desert,3,1.3,10.4,1.3,42.45386759581886,12.4,60.0,170,2.7
2026-02-01,2026,2,Victorville,34.54,-117.29,High Desert,5,1.2,10.6,0.8,42.380174216027925,12.4,60.0,151,2.4
2026-02-01,2026,2,El Centro,32.79,-115.56,Imperial Valley,4,1.3,16.8,3.7,42.15526132404185,13.3,95.0,135,1.5
2026-02-01,2026,2,Needles,34.85,-114.61,Mojave Desert,2,1.4,10.4,1.2,42.19202090592338,12.4,60.0,177,2.8
2026-02-01,2026,2,Big Bear Lake,34.24,-116.91,Mountain,2,0.9,16.0,40.7,41.819721254355436,12.4,60.0,118,1.9
2026-03-01,2026,3,Crescent City,41.75,-124.2,North Coast,2,1.3,13.7,177.7,42.45386759581886,15.1,45.4,178,3.2
2026-03-01,2026,3,Eureka,40.8,-124.16,North Coast,4,1.2,14.2,31.6,41.967630662020944,15.0,68.7,174,2.6
2026-03-01,2026,3,Arcata,40.86,-124.08,North Coast,4,0.9,14.2,80.7,41.819721254355436,15.0,68.7,129,1.9
2026-03-01,2026,3,Truckee,39.33,-120.18,Sierra Nevada,2,0.9,15.1,9.5,42.00735191637635,11.5,66.8,84,1.3
2026-03-01,2026,3,South Lake Tahoe,38.94,-119.98,Sierra Nevada,3,1.0,15.3,57.7,41.819721254355436,10.6,64.5,136,2.1
2026-03-01,2026,3,Mammoth Lakes,37.65,-118.97,Sierra Nevada,2,0.9,16.1,53.7,42.380174216027925,11.6,0.0,141,3.5
2026-03-01,2026,3,Redding,40.59,-122.39,North Valley,3,1.4,14.3,80.0,42.380174216027925,14.1,51.6,180,3.1
2026-03-01,2026,3,Chico,39.73,-121.84,North Valley,4,1.0,14.9,47.6,42.380174216027925,13.9,55.5,151,2.5
2026-03-01,2026,3,Sacramento,38.58,-121.49,Central Valley,7,1.0,15.6,93.8,41.819721254355436,11.8,70.3,173,2.5
2026-03-01,2026,3,Davis,38.54,-121.74,Central Valley,5,0.7,15.6,15.5,41.819721254355436,11.1,73.9,83,1.2
2026-03-01,2026,3,San Francisco,37.77,-122.42,Bay Area,10,0.9,16.0,16.6,41.819721254355436,8.8,88.0,140,1.7
2026-03-01,2026,3,Oakland,37.8,-122.27,Bay Area,9,1.1,16.0,34.5,42.380174216027925,9.2,86.2,189,2.3
2026-03-01,2026,3,San Jose,37.34,-121.89,Bay Area,8,0.9,16.3,119.6,42.380174216027925,8.2,90.1,149,1.7
2026-03-01,2026,3,Santa Rosa,38.44,-122.71,North Bay,5,1.1,15.6,46.1,41.967630662020944,10.8,81.3,161,2.1
2026-03-01,2026,3,Napa,38.3,-122.29,North Bay,4,1.2,15.7,103.8,41.967630662020944,10.6,81.2,163,2.1
2026-03-01,2026,3,Stockton,37.96,-121.29,Central Valley,6,1.3,15.9,15.6,43.0077003484321,12.7,58.2,178,2.9
2026-03-01,2026,3,Fresno,36.74,-119.79,Central Valley,6,1.4,16.7,39.2,42.380174216027925,13.4,63.3,234,3.6
2026-03-01,2026,3,Visalia,36.33,-119.29,Central Valley,5,1.3,16.9,0.9,41.819721254355436,14.2,56.1,168,2.8
2026-03-01,2026,3,Bakersfield,35.37,-119.02,Central Valley,6,1.4,17.5,131.0,42.380174216027925,14.7,55.7,234,3.9
2026-03-01,2026,3,Monterey,36.6,-121.89,Central Coast,5,1.1,16.7,114.8,42.45386759581886,12.1,76.3,165,2.2
2026-03-01,2026,3,San Luis Obispo,35.28,-120.66,Central Coast,4,0.9,17.5,67.7,42.15526132404185,11.3,63.0,131,2.0
2026-03-01,2026,3,Santa Barbara,34.42,-119.7,Central Coast,6,1.1,18.0,9.8,41.836271777003525,11.6,74.1,141,2.0
2026-03-01,2026,3,Santa Maria,34.95,-120.44,Central Coast,5,1.2,17.7,16.3,42.380174216027925,11.6,74.1,143,2.0
2026-03-01,2026,3,Los Angeles,34.05,-118.24,LA Basin,9,1.0,18.3,4.7,41.967630662020944,11.3,75.1,156,2.1
2026-03-01,2026,3,Long Beach,33.77,-118.19,LA Basin,9,1.0,18.4,15.1,42.380174216027925,11.3,75.1,156,2.1
2026-03-01,2026,3,Santa Monica,34.02,-118.49,LA Basin,9,0.9,18.3,1.0,41.819721254355436,11.3,75.1,140,1.9
2026-03-01,2026,3,Pasadena,34.15,-118.14,LA Basin,8,1.0,18.2,6.5,41.72529616724742,11.3,75.1,146,2.0
2026-03-01,2026,3,Lancaster,34.69,-118.15,High Desert/LA,5,1.1,14.9,2.4,41.819721254355436,11.3,75.1,131,1.8
2026-03-01,2026,3,Anaheim,33.84,-117.91,Orange County,8,1.0,18.4,7.9,42.377386759581924,9.3,74.7,146,2.0
